"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	10031	1392313	720.5
	"Hawaii"	"15"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	118	1404054	8.4
	"Hawaii"	"15"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	1404054	1.6
	"Hawaii"	"15"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	1404054	Unreliable
	"Hawaii"	"15"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	66	1404054	4.7
	"Hawaii"	"15"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	10268	1404054	731.3
	"Hawaii"	"15"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	112	1419561	7.9
	"Hawaii"	"15"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	31	1419561	2.2
	"Hawaii"	"15"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	1419561	Unreliable
	"Hawaii"	"15"	"2014"	"2014"	"All other drug-induced causes"	"D9"	17	1419561	Unreliable
	"Hawaii"	"15"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	84	1419561	5.9
	"Hawaii"	"15"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	10506	1419561	740.1
	"Hawaii"	"15"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	139	1431603	9.7
	"Hawaii"	"15"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	18	1431603	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	1431603	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	90	1431603	6.3
	"Hawaii"	"15"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	10783	1431603	753.2
	"Hawaii"	"15"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	168	1428557	11.8
	"Hawaii"	"15"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	15	1428557	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	"All other drug-induced causes"	"D9"	16	1428557	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	91	1428557	6.4
	"Hawaii"	"15"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	10609	1428557	742.6
	"Idaho"	"16"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	1275674	3.1
	"Idaho"	"16"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	18	1275674	Unreliable
	"Idaho"	"16"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	74	1275674	5.8
	"Idaho"	"16"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	9439	1275674	739.9
	"Idaho"	"16"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	1293953	2.5
	"Idaho"	"16"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	19	1293953	Unreliable
	"Idaho"	"16"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	1293953	Unreliable
	"Idaho"	"16"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	104	1293953	8.0
	"Idaho"	"16"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	9388	1293953	725.5
	"Idaho"	"16"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	1319962	4.4
	"Idaho"	"16"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	25	1319962	1.9
	"Idaho"	"16"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	14	1319962	Unreliable
	"Idaho"	"16"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	122	1319962	9.2
	"Idaho"	"16"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	9531	1319962	722.1
	"Idaho"	"16"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	74	1340372	5.5
	"Idaho"	"16"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	1340372	1.6
	"Idaho"	"16"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	21	1340372	1.6
	"Idaho"	"16"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	118	1340372	8.8
	"Idaho"	"16"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	9679	1340372	722.1
	"Idaho"	"16"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	57	1363380	4.2
	"Idaho"	"16"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	1363380	1.6
	"Idaho"	"16"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	22	1363380	1.6
	"Idaho"	"16"	"2003"	"2003"	"All other drug-induced causes"	"D9"	16	1363380	Unreliable
	"Idaho"	"16"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	133	1363380	9.8
	"Idaho"	"16"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	10127	1363380	742.8
	"Idaho"	"16"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	66	1391802	4.7
	"Idaho"	"16"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	1391802	Unreliable
	"Idaho"	"16"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	1391802	Unreliable
	"Idaho"	"16"	"2004"	"2004"	"All other drug-induced causes"	"D9"	15	1391802	Unreliable
	"Idaho"	"16"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	119	1391802	8.6
	"Idaho"	"16"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	9796	1391802	703.8
	"Idaho"	"16"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	64	1428241	4.5
	"Idaho"	"16"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	1428241	1.5
	"Idaho"	"16"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	1428241	1.6
	"Idaho"	"16"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	135	1428241	9.5
	"Idaho"	"16"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	10303	1428241	721.4
	"Idaho"	"16"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	86	1468669	5.9
	"Idaho"	"16"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	26	1468669	1.8
	"Idaho"	"16"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	1468669	Unreliable
	"Idaho"	"16"	"2006"	"2006"	"All other drug-induced causes"	"D9"	17	1468669	Unreliable
	"Idaho"	"16"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	124	1468669	8.4
	"Idaho"	"16"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	10337	1468669	703.8
	"Idaho"	"16"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	88	1505105	5.8
	"Idaho"	"16"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	1505105	1.5
	"Idaho"	"16"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	1505105	Unreliable
	"Idaho"	"16"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	144	1505105	9.6
	"Idaho"	"16"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	10537	1505105	700.1
	"Idaho"	"16"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	90	1534320	5.9
	"Idaho"	"16"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	31	1534320	2.0
	"Idaho"	"16"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	24	1534320	1.6
	"Idaho"	"16"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	164	1534320	10.7
	"Idaho"	"16"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	10637	1534320	693.3
	"Idaho"	"16"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	100	1554439	6.4
	"Idaho"	"16"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	43	1554439	2.8
	"Idaho"	"16"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	1554439	1.8
	"Idaho"	"16"	"2009"	"2009"	"All other drug-induced causes"	"D9"	10	1554439	Unreliable
	"Idaho"	"16"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	1554439	Unreliable
	"Idaho"	"16"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	153	1554439	9.8
	"Idaho"	"16"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	10750	1554439	691.6
	"Idaho"	"16"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	116	1567582	7.4
	"Idaho"	"16"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	34	1567582	2.2
	"Idaho"	"16"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	1567582	1.8
	"Idaho"	"16"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	154	1567582	9.8
	"Idaho"	"16"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	11083	1567582	707.0
	"Idaho"	"16"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	118	1584985	7.4
	"Idaho"	"16"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	1584985	2.8
	"Idaho"	"16"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	31	1584985	2.0
	"Idaho"	"16"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	175	1584985	11.0
	"Idaho"	"16"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	11647	1584985	734.8
	"Idaho"	"16"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	113	1595728	7.1
	"Idaho"	"16"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	27	1595728	1.7
	"Idaho"	"16"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	40	1595728	2.5
	"Idaho"	"16"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	209	1595728	13.1
	"Idaho"	"16"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	11592	1595728	726.4
	"Idaho"	"16"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	142	1612136	8.8
	"Idaho"	"16"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	38	1612136	2.4
	"Idaho"	"16"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	1612136	1.7
	"Idaho"	"16"	"2013"	"2013"	"All other drug-induced causes"	"D9"	10	1612136	Unreliable
	"Idaho"	"16"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	1612136	Unreliable
	"Idaho"	"16"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	205	1612136	12.7
	"Idaho"	"16"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	12002	1612136	744.5
	"Idaho"	"16"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	146	1634464	8.9
	"Idaho"	"16"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	1634464	2.7
	"Idaho"	"16"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	22	1634464	1.3
	"Idaho"	"16"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	1634464	Unreliable
	"Idaho"	"16"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	217	1634464	13.3
	"Idaho"	"16"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	12164	1634464	744.2
	"Idaho"	"16"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	148	1654930	8.9
	"Idaho"	"16"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	46	1654930	2.8
	"Idaho"	"16"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	1654930	1.4
	"Idaho"	"16"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	12	1654930	Unreliable
	"Idaho"	"16"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	228	1654930	13.8
	"Idaho"	"16"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	12562	1654930	759.1
	"Idaho"	"16"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	181	1683140	10.8
	"Idaho"	"16"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	1683140	2.2
	"Idaho"	"16"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	25	1683140	1.5
	"Idaho"	"16"	"2016"	"2016"	"All other drug-induced causes"	"D9"	17	1683140	Unreliable
	"Idaho"	"16"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	215	1683140	12.8
	"Idaho"	"16"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	12885	1683140	765.5
	"Illinois"	"17"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	691	12359020	5.6
	"Illinois"	"17"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	98	12359020	0.8
	"Illinois"	"17"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	32	12359020	0.3
	"Illinois"	"17"	"1999"	"1999"	"All other drug-induced causes"	"D9"	47	12359020	0.4
	"Illinois"	"17"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	639	12359020	5.2
	"Illinois"	"17"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	106921	12359020	865.1
	"Illinois"	"17"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	731	12419293	5.9
	"Illinois"	"17"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	110	12419293	0.9
	"Illinois"	"17"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	25	12419293	0.2
	"Illinois"	"17"	"2000"	"2000"	"All other drug-induced causes"	"D9"	42	12419293	0.3
	"Illinois"	"17"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	554	12419293	4.5
	"Illinois"	"17"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	105161	12419293	846.8
	"Illinois"	"17"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	729	12488445	5.8
	"Illinois"	"17"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	124	12488445	1.0
	"Illinois"	"17"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	38	12488445	0.3
	"Illinois"	"17"	"2001"	"2001"	"All other drug-induced causes"	"D9"	38	12488445	0.3
	"Illinois"	"17"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	629	12488445	5.0
	"Illinois"	"17"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	103866	12488445	831.7
	"Illinois"	"17"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	814	12525556	6.5
	"Illinois"	"17"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	133	12525556	1.1
	"Illinois"	"17"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	34	12525556	0.3
	"Illinois"	"17"	"2002"	"2002"	"All other drug-induced causes"	"D9"	44	12525556	0.4
	"Illinois"	"17"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	578	12525556	4.6
	"Illinois"	"17"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	105055	12525556	838.7
	"Illinois"	"17"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	705	12556006	5.6
	"Illinois"	"17"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	116	12556006	0.9
	"Illinois"	"17"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	22	12556006	0.2
	"Illinois"	"17"	"2003"	"2003"	"All other drug-induced causes"	"D9"	25	12556006	0.2
	"Illinois"	"17"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	559	12556006	4.5
	"Illinois"	"17"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	103885	12556006	827.4
	"Illinois"	"17"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	873	12589773	6.9
	"Illinois"	"17"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	115	12589773	0.9
	"Illinois"	"17"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	42	12589773	0.3
	"Illinois"	"17"	"2004"	"2004"	"All other drug-induced causes"	"D9"	45	12589773	0.4
	"Illinois"	"17"	"2004"	"2004"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	13	12589773	Unreliable
	"Illinois"	"17"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	579	12589773	4.6
	"Illinois"	"17"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	100998	12589773	802.2
	"Illinois"	"17"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	922	12609903	7.3
	"Illinois"	"17"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	116	12609903	0.9
	"Illinois"	"17"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	12609903	0.2
	"Illinois"	"17"	"2005"	"2005"	"All other drug-induced causes"	"D9"	73	12609903	0.6
	"Illinois"	"17"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	566	12609903	4.5
	"Illinois"	"17"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	102262	12609903	811.0
	"Illinois"	"17"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1208	12643955	9.6
	"Illinois"	"17"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	136	12643955	1.1
	"Illinois"	"17"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	19	12643955	Unreliable
	"Illinois"	"17"	"2006"	"2006"	"All other drug-induced causes"	"D9"	54	12643955	0.4
	"Illinois"	"17"	"2006"	"2006"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	12643955	Unreliable
	"Illinois"	"17"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	600	12643955	4.7
	"Illinois"	"17"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	100138	12643955	792.0
	"Illinois"	"17"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1022	12695866	8.0
	"Illinois"	"17"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	131	12695866	1.0
	"Illinois"	"17"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	31	12695866	0.2
	"Illinois"	"17"	"2007"	"2007"	"All other drug-induced causes"	"D9"	47	12695866	0.4
	"Illinois"	"17"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	38	12695866	0.3
	"Illinois"	"17"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	592	12695866	4.7
	"Illinois"	"17"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	98634	12695866	776.9
	"Illinois"	"17"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1118	12747038	8.8
	"Illinois"	"17"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	166	12747038	1.3
	"Illinois"	"17"	"2008"	"2008"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	12	12747038	Unreliable
	"Illinois"	"17"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	57	12747038	0.4
	"Illinois"	"17"	"2008"	"2008"	"All other drug-induced causes"	"D9"	59	12747038	0.5
	"Illinois"	"17"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	46	12747038	0.4
	"Illinois"	"17"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	661	12747038	5.2
	"Illinois"	"17"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	101352	12747038	795.1
	"Illinois"	"17"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1130	12796778	8.8
	"Illinois"	"17"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	186	12796778	1.5
	"Illinois"	"17"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	56	12796778	0.4
	"Illinois"	"17"	"2009"	"2009"	"All other drug-induced causes"	"D9"	46	12796778	0.4
	"Illinois"	"17"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	71	12796778	0.6
	"Illinois"	"17"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	675	12796778	5.3
	"Illinois"	"17"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	97883	12796778	764.9
	"Illinois"	"17"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1075	12830632	8.4
	"Illinois"	"17"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	152	12830632	1.2
	"Illinois"	"17"	"2010"	"2010"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	10	12830632	Unreliable
	"Illinois"	"17"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	51	12830632	0.4
	"Illinois"	"17"	"2010"	"2010"	"All other drug-induced causes"	"D9"	56	12830632	0.4
	"Illinois"	"17"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	49	12830632	0.4
	"Illinois"	"17"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	641	12830632	5.0
	"Illinois"	"17"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	97897	12830632	763.0
	"Illinois"	"17"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1195	12869257	9.3
	"Illinois"	"17"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	157	12869257	1.2
	"Illinois"	"17"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	50	12869257	0.4
	"Illinois"	"17"	"2011"	"2011"	"All other drug-induced causes"	"D9"	51	12869257	0.4
	"Illinois"	"17"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	55	12869257	0.4
	"Illinois"	"17"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	720	12869257	5.6
	"Illinois"	"17"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	99672	12869257	774.5
	"Illinois"	"17"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1391	12875255	10.8
	"Illinois"	"17"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	171	12875255	1.3
	"Illinois"	"17"	"2012"	"2012"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	11	12875255	Unreliable
	"Illinois"	"17"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	55	12875255	0.4
	"Illinois"	"17"	"2012"	"2012"	"All other drug-induced causes"	"D9"	39	12875255	0.3
	"Illinois"	"17"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	72	12875255	0.6
	"Illinois"	"17"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	705	12875255	5.5
	"Illinois"	"17"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	99989	12875255	776.6
	"Illinois"	"17"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1313	12882135	10.2
	"Illinois"	"17"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	181	12882135	1.4
	"Illinois"	"17"	"2013"	"2013"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	10	12882135	Unreliable
	"Illinois"	"17"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	75	12882135	0.6
	"Illinois"	"17"	"2013"	"2013"	"All other drug-induced causes"	"D9"	28	12882135	0.2
	"Illinois"	"17"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	78	12882135	0.6
	"Illinois"	"17"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	735	12882135	5.7
	"Illinois"	"17"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	100981	12882135	783.9
	"Illinois"	"17"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1431	12880580	11.1
	"Illinois"	"17"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	195	12880580	1.5
	"Illinois"	"17"	"2014"	"2014"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	10	12880580	Unreliable
	"Illinois"	"17"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	69	12880580	0.5
	"Illinois"	"17"	"2014"	"2014"	"All other drug-induced causes"	"D9"	31	12880580	0.2
	"Illinois"	"17"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	92	12880580	0.7
	"Illinois"	"17"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	797	12880580	6.2
	"Illinois"	"17"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	102668	12880580	797.1
	"Illinois"	"17"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1587	12859995	12.3
